#,X,Y,Z,q_x,q_y,q_z,q_w
3018,-4.140642987,-1.654777677,0.083497341,0.612676468,0.788638809,0.05171509,0.001387137
3019,-4.140561882,-1.652326346,0.083359034,0.613075793,0.788310775,0.051990342,0.001094327
3020,-4.140463161,-1.64986551,0.083202703,0.613459241,0.787995927,0.052244992,0.000799861
3021,-4.14036011,-1.647387888,0.083010731,0.613794198,0.78772508,0.052399178,0.000454412
3022,-4.140253363,-1.644890456,0.082791307,0.614043473,0.787525818,0.05247568,4.25E-05
3023,-4.140141549,-1.642370856,0.082534497,0.614199009,0.787401495,0.052519397,-0.000419484
3024,-4.140021594,-1.639823981,0.082247479,0.614278721,0.787332524,0.052615577,-0.000866834
3025,-4.139885683,-1.637245914,0.081939462,0.614280688,0.787319656,0.052777573,-0.001233941
3026,-4.139723241,-1.634649824,0.081611964,0.614224563,0.787345719,0.053035316,-0.001470094
3027,-4.139537055,-1.632040847,0.081264117,0.614157393,0.787376419,0.053352872,-0.001594752
3028,-4.139338545,-1.629424451,0.080901487,0.614129234,0.787377215,0.053661036,-0.001702648
3029,-4.139136384,-1.626813822,0.080508846,0.614151433,0.78734302,0.053903322,-0.001848885
3030,-4.138936406,-1.624206146,0.080093616,0.61418719,0.787306915,0.054015013,-0.002072659
3031,-4.138730451,-1.621600511,0.079663928,0.614194159,0.787299649,0.054032576,-0.002297653
3032,-4.138505085,-1.618993424,0.079229791,0.614139344,0.787342704,0.054021279,-0.002456376
3033,-4.138250073,-1.616391518,0.078797439,0.614042294,0.787418222,0.054021028,-0.00251683
3034,-4.137963129,-1.613799265,0.078381548,0.613934875,0.787500503,0.054043235,-0.002501219
3035,-4.137640389,-1.61122612,0.077974124,0.613864581,0.787553847,0.054066738,-0.002449725
3036,-4.137278777,-1.608673348,0.077582138,0.613864592,0.787549546,0.054132148,-0.002384511
3037,-4.136884342,-1.606132669,0.077212431,0.61397669,0.787456762,0.054211108,-0.002372102
3038,-4.136459192,-1.603614347,0.07685929,0.614194372,0.787280193,0.054307266,-0.00242736
3039,-4.13600764,-1.601111692,0.076525931,0.61448066,0.787051611,0.054377457,-0.002524191
3040,-4.13553012,-1.598626403,0.076216075,0.614792832,0.786802779,0.054443112,-0.002666255
3041,-4.135030351,-1.596149633,0.07593475,0.615111677,0.78654698,0.054528061,-0.002857074
3042,-4.134505152,-1.593689462,0.075687294,0.615415046,0.786299082,0.0546668,-0.003100906
3043,-4.133961099,-1.59122918,0.075471754,0.615672254,0.786083489,0.054852704,-0.003406694
3044,-4.133398631,-1.588762221,0.0752938,0.615888462,0.78589715,0.055072777,-0.003749861
3045,-4.132821267,-1.586276369,0.075154291,0.616093686,0.785714829,0.05535335,-0.004096776
3046,-4.132230869,-1.583772533,0.075055321,0.61630633,0.785521603,0.055702849,-0.004417077
3047,-4.131635912,-1.581245593,0.074985158,0.616575715,0.785280763,0.056093872,-0.004689101
3048,-4.13103726,-1.578713505,0.074941435,0.616910246,0.784989325,0.056475643,-0.004899924
3049,-4.130441042,-1.576179642,0.074918069,0.617320594,0.784642993,0.056788844,-0.005068018
3050,-4.129855446,-1.573651762,0.074908025,0.617839716,0.784217638,0.057003236,-0.00523568
3051,-4.129292413,-1.571134391,0.074909308,0.618471986,0.783710178,0.057105568,-0.005450918
3052,-4.128755434,-1.568638199,0.074918769,0.619223827,0.783112866,0.057121656,-0.005762619
3053,-4.128253304,-1.566143273,0.074933516,0.620061204,0.782451689,0.057055172,-0.006177787
3054,-4.127785856,-1.563632537,0.074957706,0.620934064,0.781764116,0.056934804,-0.006647025
3055,-4.127348454,-1.561095262,0.074997493,0.621788162,0.781092383,0.056780371,-0.00708243
3056,-4.126937743,-1.558514923,0.075059301,0.622571223,0.780477067,0.056614347,-0.007445551
3057,-4.126551888,-1.555884032,0.07515148,0.623252116,0.779940767,0.056474628,-0.007734169
3058,-4.126194194,-1.553195845,0.075282358,0.623803552,0.7795067,0.056342389,-0.007998061
3059,-4.125867248,-1.550451223,0.075440694,0.624203095,0.779194366,0.056190985,-0.008319232
3060,-4.125574205,-1.547659746,0.075623095,0.624436257,0.779018483,0.055974294,-0.008743148
3061,-4.125318728,-1.544828323,0.075829685,0.624536505,0.778952873,0.055684646,-0.009262636
3062,-4.125101747,-1.541966024,0.076056075,0.624538603,0.778967287,0.055354758,-0.009866621
3063,-4.124919625,-1.539086667,0.076302742,0.624469898,0.77903959,0.05498965,-0.010526203
3064,-4.124774612,-1.536185914,0.076572491,0.624347807,0.779155953,0.054598472,-0.01117244
3065,-4.124659967,-1.533273078,0.076864257,0.624220011,0.779276802,0.054211459,-0.011754218
3066,-4.124572228,-1.530339184,0.077176987,0.62409604,0.779392307,0.053869053,-0.012242971
3067,-4.124500822,-1.527386249,0.077511851,0.623959546,0.779515333,0.053587829,-0.012596598
3068,-4.124439858,-1.524405642,0.077863941,0.623770396,0.779677985,0.053364116,-0.01284535
3069,-4.124387971,-1.521399759,0.078233585,0.62355688,0.779856958,0.053197107,-0.013038844
3070,-4.124347243,-1.518383475,0.078610993,0.623269521,0.780095745,0.053015955,-0.013230339
3071,-4.124322274,-1.515364027,0.07898744,0.622950509,0.780362727,0.052791275,-0.013407452
3072,-4.124308536,-1.512367566,0.07935537,0.622615574,0.780645525,0.052516576,-0.013580162
3073,-4.124312332,-1.509393267,0.079709407,0.622280691,0.780932983,0.052152258,-0.013804347
3074,-4.124339079,-1.506453423,0.080046972,0.622030542,0.781156281,0.051709494,-0.014106626
3075,-4.124393783,-1.503549754,0.080370079,0.62190092,0.781285114,0.051212754,-0.014493766
3076,-4.12447252,-1.500680146,0.080691778,0.621884163,0.781326729,0.050657964,-0.014913107
3077,-4.124572601,-1.497842342,0.081008394,0.621919733,0.781331009,0.050034356,-0.015305682
3078,-4.124692625,-1.495052152,0.081323409,0.621973377,0.781325777,0.049344478,-0.015629197
3079,-4.12484063,-1.492297952,0.0816332,0.622035819,0.781315536,0.048632294,-0.015886245
3080,-4.125019341,-1.48956746,0.081934403,0.622090289,0.781312928,0.047898444,-0.016109623
3081,-4.125225105,-1.486868872,0.08223805,0.622112766,0.781334627,0.047195323,-0.016263718
3082,-4.125462049,-1.484191558,0.082532642,0.6220824,0.781397932,0.04651754,-0.016336409
3083,-4.125726568,-1.481536423,0.082838416,0.621997257,0.781505611,0.045862108,-0.016280668
3084,-4.126018569,-1.478912096,0.083159683,0.621896525,0.781625474,0.045259,-0.016060932
3085,-4.126343373,-1.476332329,0.083496462,0.621850336,0.781699846,0.044731442,-0.015703786
3086,-4.126707794,-1.473801516,0.083858873,0.621889809,0.781703885,0.044266022,-0.01525189
3087,-4.127117707,-1.471331531,0.08423772,0.622031493,0.781621259,0.043892769,-0.01478022
3088,-4.127581971,-1.468923228,0.084631508,0.622255935,0.781469153,0.043567637,-0.014330886
3089,-4.128099246,-1.466580735,0.085030676,0.622491078,0.781308286,0.043228826,-0.013910029
3090,-4.128665934,-1.464293814,0.085435828,0.62268505,0.7811786,0.042910639,-0.013490763
3091,-4.129276606,-1.462052787,0.085845295,0.622792951,0.78111666,0.042605615,-0.013056245
3092,-4.129926897,-1.45984701,0.086261271,0.622780473,0.781148846,0.042337269,-0.012590406
3093,-4.130613529,-1.457669145,0.086681706,0.622653209,0.781269331,0.042119939,-0.012129494
3094,-4.131335583,-1.455504498,0.087107717,0.622416876,0.781473242,0.04195475,-0.01168776
3095,-4.132089092,-1.453345451,0.087529411,0.622127177,0.781715345,0.041856984,-0.01126444
3096,-4.132874263,-1.451194139,0.087952869,0.621868985,0.781926212,0.041863636,-0.010853569
3097,-4.133693097,-1.449052666,0.088372708,0.62169257,0.782068457,0.041933655,-0.010432918
3098,-4.134543494,-1.446928602,0.088794958,0.621634506,0.782114837,0.042038828,-0.009982942
3099,-4.135425715,-1.444826286,0.089215641,0.621699571,0.782061976,0.042169517,-0.009510004
3100,-4.136341277,-1.442743836,0.089627755,0.621866203,0.78192815,0.042294164,-0.009055223
3101,-4.137291358,-1.440670433,0.090026228,0.622084992,0.781754184,0.042380407,-0.008634801
3102,-4.138278242,-1.438589857,0.090407305,0.622285534,0.781596741,0.042415423,-0.008257141
3103,-4.139305228,-1.436496756,0.090755691,0.622401707,0.781510575,0.042359648,-0.007937044
3104,-4.140380204,-1.434377915,0.091073298,0.622456889,0.781476507,0.042233711,-0.00762911
3105,-4.141484426,-1.43225895,0.091367288,0.622446789,0.781493947,0.042127992,-0.007241364
3106,-4.142611,-1.430124904,0.091645704,0.622388665,0.781546046,0.042108028,-0.006711397
3107,-4.143758359,-1.427981397,0.091917726,0.622338284,0.781586459,0.042202457,-0.006051441
3108,-4.14493594,-1.425832803,0.09218617,0.622332805,0.781587993,0.042348708,-0.005355016
3109,-4.146157928,-1.423682652,0.092438477,0.622393033,0.781538834,0.042448448,-0.004700271
3110,-4.147430327,-1.421548653,0.092671425,0.622540185,0.781422457,0.042495297,-0.004100223
3111,-4.148753182,-1.419434217,0.092891104,0.622771446,0.781240165,0.04250764,-0.003553946
3112,-4.150119399,-1.417336575,0.093093743,0.623075972,0.780997272,0.042550043,-0.003014625
3113,-4.15152933,-1.415241768,0.093279122,0.623423973,0.780716605,0.042637493,-0.002485409
3114,-4.152987037,-1.413150823,0.093442844,0.623776687,0.780430557,0.042741585,-0.001986886
3115,-4.154503296,-1.411054625,0.093574461,0.624105256,0.780165205,0.042806953,-0.001564647
3116,-4.156081548,-1.408938505,0.093677224,0.624397119,0.779930732,0.042835486,-0.001188321
3117,-4.157711509,-1.406799457,0.093760359,0.624617942,0.779753435,0.042852774,-0.000804203
3118,-4.159386365,-1.40461779,0.093826488,0.624765255,0.779634051,0.042883185,-0.000394056
3119,-4.161107317,-1.402389069,0.093881965,0.624870314,0.779546707,0.042942085,3.36E-06
3120,-4.162885221,-1.400118797,0.093920053,0.624969059,0.779465368,0.042980421,0.000314067
3121,-4.164730131,-1.397811244,0.093933474,0.625079766,0.779377982,0.042953479,0.000496487
3122,-4.166640583,-1.395487143,0.093917685,0.625228633,0.779265736,0.042822625,0.000540433
3123,-4.168617315,-1.393146579,0.093877503,0.625396283,0.779144131,0.042587158,0.000496334
3124,-4.170655151,-1.390792321,0.093810984,0.62560727,0.778992516,0.04226122,0.000439415
3125,-4.172750135,-1.388418826,0.093727534,0.625869444,0.778801678,0.041895084,0.000433644
3126,-4.174893522,-1.386032214,0.093637591,0.626193853,0.778560827,0.04152131,0.00052744
3127,-4.177090812,-1.383622006,0.093548037,0.626580698,0.7782698,0.041136781,0.000715434
3128,-4.179349265,-1.381191213,0.093453314,0.627053277,0.777909505,0.040743668,0.000970709
3129,-4.181672821,-1.378738785,0.093360413,0.627599677,0.777487577,0.040375325,0.001243203
3130,-4.184060154,-1.376255518,0.093272334,0.628202244,0.777015084,0.040089354,0.001530798
3131,-4.186502931,-1.373731735,0.093191592,0.628821068,0.776519969,0.039966813,0.001859183
3132,-4.188989334,-1.371167557,0.093131357,0.62943357,0.776017642,0.040059585,0.002286664
3133,-4.191518906,-1.368555603,0.093088415,0.630018699,0.775527241,0.040321334,0.002850922
3134,-4.194090582,-1.365916655,0.093058423,0.630571852,0.775057147,0.040658515,0.003527646
3135,-4.196711027,-1.363240453,0.093027909,0.631068181,0.774632529,0.040976263,0.004282793
3136,-4.199379622,-1.36052489,0.092987476,0.631469436,0.774290554,0.041169464,0.005056147
3137,-4.202095699,-1.357770941,0.09292562,0.631825354,0.77399075,0.04124655,0.005810613
3138,-4.204852267,-1.354985556,0.09285052,0.632170357,0.773704889,0.041217845,0.006517178
3139,-4.2076456,-1.352161963,0.092771783,0.632528824,0.773409946,0.04114797,0.007154506
3140,-4.210467481,-1.349330193,0.092692643,0.632919668,0.773090613,0.041042446,0.007688641
3141,-4.213320591,-1.346483945,0.092615011,0.633352078,0.772741213,0.040877065,0.00807646
3142,-4.216196777,-1.343647315,0.092543253,0.633835528,0.772354613,0.040648825,0.008279369
3143,-4.219098799,-1.340812081,0.092471619,0.634395221,0.771909143,0.040381248,0.008266449
3144,-4.222022929,-1.337970798,0.092404369,0.635041208,0.771394422,0.040104028,0.008060827
3145,-4.224957256,-1.335122062,0.09234797,0.635749108,0.770826655,0.039867014,0.007743417
3146,-4.227892699,-1.332250702,0.092305217,0.636506249,0.770213047,0.039705555,0.007424745
3147,-4.230819295,-1.329353103,0.0922823,0.637286796,0.769573313,0.039635291,0.007176352
3148,-4.233729547,-1.32642522,0.092290171,0.638077656,0.768916795,0.039672064,0.007070617
