#Time,X,Y,Z,q_x,q_y,q_z,q_w
1129,-5.514198628,-3.727145113,0.07407578,0.509269559,0.859001254,0.028556066,-0.044112499
1130,-5.512056414,-3.728283033,0.074166894,0.508784427,0.85926315,0.029325948,-0.044104816
1131,-5.509866827,-3.7295148,0.074263924,0.508255426,0.859551623,0.030042875,-0.044100511
1132,-5.507626809,-3.730852932,0.074365637,0.507687993,0.859864898,0.030656171,-0.04410736
1133,-5.505333329,-3.732300096,0.074472424,0.507070222,0.860210892,0.031136822,-0.044130598
1134,-5.502987717,-3.733847967,0.074580176,0.506402128,0.860589491,0.031502581,-0.044161061
1135,-5.500588159,-3.735492223,0.074685539,0.505673089,0.86100692,0.031757657,-0.04419571
1136,-5.498135391,-3.737231709,0.074787121,0.504840594,0.861486839,0.031933478,-0.044234077
1137,-5.495632243,-3.739064188,0.074883359,0.503905054,0.862030037,0.032061611,-0.044226284
1138,-5.493068989,-3.740993615,0.074980416,0.502849747,0.862647061,0.032168146,-0.044129234
1139,-5.490435975,-3.743015718,0.075092046,0.501701006,0.863324872,0.032262347,-0.043879447
1140,-5.487726206,-3.745130587,0.075213453,0.500506831,0.864037099,0.032322919,-0.043451507
1141,-5.484944478,-3.747332837,0.075350429,0.499343283,0.864738678,0.03231471,-0.042884319
1142,-5.482096238,-3.74962472,0.07550229,0.498277183,0.865390567,0.032179902,-0.042231131
1143,-5.479189402,-3.752010694,0.075656525,0.497334437,0.865975099,0.03189099,-0.041575832
1144,-5.476234212,-3.754486541,0.075811097,0.496496758,0.866501011,0.031472268,-0.040944648
1145,-5.473219248,-3.757059932,0.075966665,0.495713118,0.86699717,0.030983887,-0.040303986
1146,-5.470153204,-3.759697717,0.07612531,0.49493949,0.867488041,0.030527385,-0.039591408
1147,-5.467026244,-3.762394941,0.076293209,0.494126939,0.868000088,0.030174802,-0.038780101
1148,-5.463847792,-3.765131148,0.076474492,0.493236229,0.868555061,0.029934056,-0.037869259
1149,-5.460628778,-3.767894655,0.076669702,0.49221717,0.869180589,0.029761175,-0.036900334
1150,-5.45737468,-3.770679306,0.076878027,0.49108511,0.869869991,0.029602358,-0.035851282
1151,-5.454079616,-3.773490631,0.077097338,0.48983958,0.870622636,0.029467477,-0.03471425
1152,-5.450754315,-3.776309199,0.077319251,0.488521598,0.871414868,0.029378075,-0.033461986
1153,-5.447398314,-3.779142367,0.077550542,0.487301833,0.872141764,0.029338485,-0.032325226
1154,-5.444017358,-3.7820066,0.077786227,0.48613347,0.87283137,0.029387642,-0.031241243
1155,-5.440622603,-3.784905796,0.078032467,0.48505994,0.873460077,0.029472734,-0.030260649
1156,-5.43721249,-3.78784739,0.078304722,0.484064113,0.874040292,0.02957148,-0.029343304
1157,-5.433786197,-3.79083266,0.078600595,0.483102662,0.874599489,0.029656399,-0.02842622
1158,-5.430353913,-3.793850544,0.078915363,0.482119601,0.87517143,0.029703026,-0.027447929
1159,-5.426911716,-3.796903281,0.079249858,0.481081503,0.875774913,0.029677551,-0.02642219
1160,-5.423472072,-3.799966773,0.079595029,0.47995924,0.876424949,0.02957705,-0.025369969
1161,-5.420044589,-3.803017245,0.079940478,0.478726019,0.877133288,0.029409453,-0.0243655
1162,-5.416620778,-3.806053483,0.080293438,0.477360713,0.877910023,0.029180675,-0.023435628
1163,-5.413207494,-3.809055023,0.080646762,0.475844884,0.878763679,0.028903197,-0.022597524
1164,-5.409801664,-3.812019185,0.080991673,0.474187908,0.879688152,0.02858854,-0.021846703
1165,-5.406395727,-3.814956462,0.081330955,0.472398379,0.880678835,0.028231292,-0.021155515
1166,-5.402996394,-3.817860829,0.081662731,0.470587005,0.881674985,0.027863407,-0.020511531
1167,-5.399600236,-3.82074421,0.081989243,0.468803756,0.882649851,0.027479788,-0.019928375
1168,-5.396204772,-3.823616844,0.082304251,0.467138812,0.883555389,0.027092068,-0.019422267
1169,-5.392811264,-3.826477274,0.082620477,0.46562312,0.884376483,0.026693443,-0.018994898
1170,-5.389421119,-3.829319527,0.082933139,0.464294596,0.885094055,0.026307167,-0.018627254
1171,-5.386026891,-3.832147087,0.08324069,0.463124476,0.885724668,0.025931557,-0.018305386
1172,-5.382627803,-3.834955569,0.083539536,0.462050307,0.886301741,0.025562265,-0.01803633
1173,-5.379216153,-3.837747372,0.083828764,0.460999777,0.886863127,0.025209006,-0.017818673
1174,-5.375799807,-3.840496717,0.084111115,0.459952102,0.887419854,0.024905107,-0.017601186
1175,-5.37236846,-3.843205422,0.084386691,0.458922826,0.887963405,0.024675792,-0.017376301
1176,-5.368916779,-3.845878297,0.08465149,0.457940958,0.888479489,0.024517413,-0.017122319
1177,-5.365448507,-3.848515959,0.084904095,0.457033495,0.888955388,0.024398161,-0.016835442
1178,-5.36196346,-3.851130807,0.085146205,0.456217236,0.889382974,0.024298605,-0.016532913
1179,-5.358464063,-3.853722384,0.085377325,0.455487825,0.88976496,0.024217304,-0.016207378
1180,-5.354959218,-3.856275754,0.085589921,0.454799519,0.890125084,0.024142569,-0.015870386
1181,-5.351448443,-3.858785689,0.085789714,0.454131832,0.890473478,0.024073028,-0.015548397
1182,-5.34793089,-3.86125171,0.085975343,0.453432923,0.890836687,0.024003861,-0.015244557
1183,-5.344397839,-3.863689574,0.08613861,0.452699157,0.891217081,0.023912966,-0.014958522
1184,-5.340858006,-3.866096974,0.086287112,0.451990856,0.891584785,0.023780875,-0.01467337
1185,-5.337306126,-3.868493527,0.086412157,0.451321905,0.891932666,0.023624496,-0.014371495
1186,-5.333749031,-3.870880148,0.086505391,0.450779619,0.892217128,0.023392528,-0.014111038
1187,-5.330198054,-3.873246327,0.086572006,0.450348582,0.892446374,0.023063371,-0.013917801
1188,-5.326653798,-3.875589468,0.086612881,0.449909284,0.892680879,0.022729215,-0.013633296
1189,-5.323108389,-3.877912486,0.086636025,0.449552045,0.892874393,0.022378273,-0.013322574
1190,-5.319568589,-3.880199746,0.086646667,0.449229086,0.893049625,0.022091256,-0.012944994
1191,-5.316043117,-3.882440358,0.086654103,0.448973945,0.893188712,0.021887119,-0.012540932
1192,-5.312538791,-3.884638206,0.086659951,0.4487952,0.89328675,0.021754662,-0.012181361
1193,-5.309061759,-3.886794636,0.086657794,0.448690852,0.893345632,0.02164779,-0.011894296
1194,-5.305609013,-3.888915819,0.086653971,0.448644742,0.893374465,0.021538522,-0.011664166
1195,-5.302188301,-3.890994095,0.086650816,0.448666596,0.893368658,0.02142933,-0.011467775
1196,-5.298794264,-3.893036606,0.086654562,0.448748695,0.893332064,0.021318903,-0.011310937
1197,-5.295430699,-3.895038507,0.086663945,0.448913053,0.893253295,0.021209934,-0.011214277
1198,-5.292097302,-3.897003696,0.086682233,0.449170646,0.893126611,0.021099874,-0.011197458
1199,-5.288793197,-3.89894105,0.086713019,0.449532981,0.892946507,0.020961721,-0.011280153
1200,-5.285520148,-3.900860827,0.086743791,0.449960752,0.892733089,0.020769508,-0.011470877
1201,-5.282284848,-3.902757786,0.086773675,0.450409566,0.892508979,0.020520495,-0.01174116
1202,-5.279076891,-3.904640886,0.086803691,0.4508133,0.89230714,0.02024993,-0.012053133
1203,-5.275905543,-3.906497044,0.086836736,0.451152376,0.892136597,0.020023023,-0.012365462
1204,-5.272756274,-3.908334841,0.086877737,0.451441061,0.891990108,0.019870754,-0.012639956
1205,-5.269627692,-3.910142158,0.086930008,0.45168448,0.891864817,0.019832054,-0.012843973
1206,-5.2665226,-3.911904757,0.086998158,0.451918858,0.891741668,0.019923046,-0.013008303
1207,-5.263436357,-3.913630352,0.0870755,0.452140685,0.891621264,0.02015625,-0.013192738
1208,-5.260388023,-3.915297485,0.0871523,0.452331959,0.891513568,0.020470872,-0.013427611
1209,-5.257371347,-3.916910909,0.087225107,0.452451233,0.891440653,0.020810796,-0.013724258
1210,-5.254381423,-3.918464801,0.087286937,0.452440214,0.891432648,0.021179738,-0.014039429
1211,-5.251411324,-3.919958087,0.087347165,0.452303502,0.891488041,0.021563449,-0.014339903
1212,-5.248456969,-3.921392238,0.087400915,0.452083408,0.891585829,0.021957528,-0.014600299
1213,-5.245515715,-3.922782593,0.08743908,0.451815051,0.891708526,0.022334672,-0.014840029
1214,-5.24259257,-3.924139236,0.087465386,0.451562922,0.891823151,0.022667714,-0.015118528
1215,-5.239687384,-3.925463944,0.087478011,0.451347791,0.891918987,0.022954059,-0.015453275
1216,-5.236794003,-3.926763297,0.087481981,0.451167077,0.891997002,0.023209422,-0.015841086
1217,-5.233912844,-3.928036198,0.087477164,0.451007125,0.892064646,0.023422756,-0.016266981
1218,-5.231039574,-3.929286486,0.087462291,0.450832967,0.892140774,0.023568009,-0.016703999
1219,-5.228171905,-3.930510462,0.087434072,0.450607476,0.892244779,0.023657278,-0.017102335
1220,-5.225295293,-3.931717374,0.087397871,0.450326908,0.892378857,0.02369861,-0.017436401
1221,-5.222411343,-3.932903312,0.087360164,0.449964938,0.89255622,0.023689409,-0.017713279
1222,-5.219506519,-3.934087662,0.087309583,0.44951032,0.892781972,0.023613378,-0.017978622
1223,-5.216590297,-3.935255187,0.087243152,0.448970868,0.893050666,0.023496834,-0.0182638
1224,-5.213654044,-3.936408085,0.087162337,0.448356972,0.893356622,0.023336372,-0.018584528
1225,-5.210690226,-3.937543083,0.087068081,0.447686239,0.893691677,0.023134154,-0.018895223
1226,-5.207690395,-3.938662771,0.086962733,0.44699117,0.894039444,0.022937868,-0.019136924
1227,-5.204649054,-3.9397797,0.08685218,0.446346037,0.894363325,0.022752701,-0.019281419
1228,-5.201559083,-3.940915736,0.086742362,0.445813496,0.894631527,0.022597834,-0.019341562
1229,-5.198428808,-3.942072991,0.086629943,0.445424772,0.894827136,0.022479831,-0.019386238
1230,-5.195272978,-3.943245416,0.086518863,0.445176571,0.894951609,0.022370412,-0.019467995
1231,-5.192097134,-3.944437211,0.086410932,0.445067381,0.895006592,0.022247541,-0.019577347
1232,-5.188906841,-3.945636853,0.08630142,0.445081189,0.894999937,0.022131558,-0.019698802
1233,-5.185692147,-3.94684286,0.086196172,0.445194318,0.894942942,0.022093625,-0.019774242
1234,-5.182461823,-3.948037313,0.086095252,0.445363538,0.894855768,0.022172479,-0.019820532
1235,-5.179211421,-3.949232944,0.085989865,0.445514663,0.894775247,0.022366668,-0.019841236
